id,cmds_size,col_size,pri_size
1,1694,2733,860
2,1640,2262,1219
3,2573,3808,2184
4,1702,2571,1479
5,1611,2229,1083
6,1431,2116,717
7,2068,2843,1583
8,2169,3018,1332
9,2081,2670,1567
10,1629,2438,1210
11,1124,1673,962
12,1330,1814,1071
13,1697,2578,1317
14,1159,1854,1113
15,1721,2471,1051
16,1615,2432,1047
17,1461,2323,1161
18,2739,3456,930
19,1514,2183,1354
20,2489,3407,1637
21,1589,2654,1124
22,1810,2403,886
23,2154,2801,1266
24,1063,1509,656
25,2729,3907,2480
26,1449,2006,1197
27,2273,3222,1633
28,1734,2776,1571
29,1967,2437,1335
30,1341,1940,857
31,1719,2319,1362
32,1400,1986,791
33,1625,2135,1266
34,2108,2638,1762
35,1822,2774,1467
36,1604,2240,1020
37,1818,2135,1290
38,2011,2235,1294
39,2123,2551,1423
40,1777,2413,1328
41,2293,2872,2007
42,1368,1916,1035
43,1748,2294,1285
44,2005,2278,1336
45,1402,1960,1169
46,2019,2330,1154
47,1679,2420,1402
48,2482,3001,1858
49,1642,2675,1534
50,261,521,108
51,2164,2795,917
52,2491,3163,1152
53,2003,2983,876
54,1538,2528,512
55,1519,1900,707
56,1916,2532,1886
57,1510,2294,1457
58,1302,1835,1485
59,2030,2658,932
60,2404,2827,1671
61,1470,2088,762
62,1795,2324,699
63,1737,1969,1037
64,2521,2760,1036
65,1326,1418,1036
66,2371,2535,1096
67,927,1165,524
68,1528,2342,679
69,1875,2384,1253
70,1597,2023,839
71,801,998,746
72,1202,1514,780
73,844,1020,835
74,1841,2199,834
75,1424,2412,526
76,643,1641,98
77,1513,2823,1228
78,2363,3722,2109
79,1627,3257,1199
80,1134,2015,562
81,643,1641,98
82,1360,2766,978
83,1776,2505,1355
84,1292,2760,781
85,1575,2680,1140
86,643,1641,98
87,1903,3552,1454
88,2177,3389,1488
89,1470,3115,784
90,1988,2208,880
91,1295,1625,496
92,1615,2095,832
93,1620,2274,957
94,1046,904,1038
95,420,98,444
96,387,98,568
97,1059,1268,98
98,18,123,98
104,832,1316,384
105,428,574,274
106,2317,2907,98
111,3921,1610,381
112,2649,1913,98
113,1871,1689,449
114,996,925,98
115,1815,2270,925
116,2260,2178,954
117,393,373,98
